Month,Brooklyn,Manhattan,Queens,NYC
1/1/2007,,2534,,2203
2/1/2007,,2477,,2170
3/1/2007,,2484,,2184
4/1/2007,,2513,,2198
5/1/2007,,2537,,2220
6/1/2007,,2562,,2240
7/1/2007,,2602,,2273
8/1/2007,,2636,,2300
9/1/2007,,2652,,2318
10/1/2007,,2664,,2332
11/1/2007,,2685,,2344
12/1/2007,,2693,,2350
1/1/2008,,2696,,2352
2/1/2008,,2694,,2355
3/1/2008,,2698,,2360
4/1/2008,,2698,,2360
5/1/2008,,2699,,2360
6/1/2008,,2699,,2360
7/1/2008,,2699,,2362
8/1/2008,,2699,,2364
9/1/2008,,2688,,2355
10/1/2008,,2660,,2331
11/1/2008,,2630,,2306
12/1/2008,,2594,,2275
1/1/2009,,2558,,2245
2/1/2009,,2523,,2216
3/1/2009,,2495,,2193
4/1/2009,,2471,,2172
5/1/2009,,2454,,2158
6/1/2009,,2444,,2149
7/1/2009,,2444,,2149
8/1/2009,,2439,,2145
9/1/2009,,2439,,2145
10/1/2009,,2432,,2139
11/1/2009,,2421,,2129
12/1/2009,,2412,,2122
1/1/2010,1837,2417,,2124
2/1/2010,1832,2421,,2128
3/1/2010,1843,2424,,2131
4/1/2010,1852,2432,,2137
5/1/2010,1866,2444,,2148
6/1/2010,1885,2459,,2162
7/1/2010,1892,2475,,2176
8/1/2010,1903,2490,,2190
9/1/2010,1910,2505,,2203
10/1/2010,1923,2516,,2212
11/1/2010,1915,2523,,2217
12/1/2010,1932,2530,,2224
1/1/2011,1937,2543,,2234
2/1/2011,1941,2556,,2244
3/1/2011,1941,2570,,2255
4/1/2011,1963,2586,,2271
5/1/2011,1980,2600,,2283
6/1/2011,1993,2617,,2299
7/1/2011,2008,2637,,2315
8/1/2011,2023,2653,,2329
9/1/2011,2035,2667,,2341
10/1/2011,2046,2681,,2354
11/1/2011,2051,2686,,2358
12/1/2011,2051,2690,,2361
1/1/2012,2053,2697,1758,2368
2/1/2012,2064,2706,1788,2375
3/1/2012,2068,2719,1793,2386
4/1/2012,2090,2732,1783,2398
5/1/2012,2100,2749,1803,2413
6/1/2012,2113,2761,1799,2424
7/1/2012,2128,2779,1807,2439
8/1/2012,2143,2792,1796,2451
9/1/2012,2154,2802,1806,2459
10/1/2012,2167,2807,1807,2465
11/1/2012,2184,2812,1817,2471
12/1/2012,2196,2812,1821,2474
1/1/2013,2200,2814,1821,2476
2/1/2013,2206,2825,1815,2485
3/1/2013,2210,2832,1818,2491
4/1/2013,2224,2841,1823,2499
5/1/2013,2241,2856,1836,2514
6/1/2013,2258,2869,1845,2526
7/1/2013,2277,2882,1863,2538
8/1/2013,2291,2892,1875,2549
9/1/2013,2299,2901,1883,2557
10/1/2013,2307,2904,1885,2561
11/1/2013,2307,2905,1879,2559
12/1/2013,2307,2899,1876,2554
1/1/2014,2306,2902,1880,2556
2/1/2014,2312,2905,1883,2559
3/1/2014,2315,2912,1887,2565
4/1/2014,2328,2927,1898,2578
5/1/2014,2345,2946,1905,2595
6/1/2014,2358,2959,1912,2606
7/1/2014,2371,2972,1928,2619
8/1/2014,2388,2986,1940,2633
9/1/2014,2394,2993,1954,2640
10/1/2014,2394,2997,1963,2643
11/1/2014,2395,2996,1964,2643
12/1/2014,2396,2997,1969,2644
1/1/2015,2405,3002,1978,2650
2/1/2015,2411,3013,1985,2658
3/1/2015,2417,3026,1987,2667
4/1/2015,2429,3041,1993,2680
5/1/2015,2443,3060,2003,2696
6/1/2015,2457,3079,2010,2712
7/1/2015,2473,3093,2028,2726
8/1/2015,2485,3105,2041,2738
9/1/2015,2496,3110,2048,2746
10/1/2015,2498,3110,2050,2746
11/1/2015,2502,3106,2047,2744
12/1/2015,2501,3101,2045,2740
1/1/2016,2500,3100,2050,2740
2/1/2016,2500,3100,2051,2740
3/1/2016,2506,3107,2056,2746
4/1/2016,2514,3117,2065,2755
5/1/2016,2521,3132,2072,2766
6/1/2016,2529,3144,2080,2776
7/1/2016,2537,3153,2086,2784
8/1/2016,2543,3159,2093,2790
9/1/2016,2548,3157,2097,2791
10/1/2016,2545,3149,2097,2785
11/1/2016,2542,3136,2091,2776
12/1/2016,2533,3125,2087,2767
1/1/2017,2529,3116,2086,2761
2/1/2017,2527,3112,2092,2759
3/1/2017,2527,3112,2094,2759
4/1/2017,2532,3120,2098,2766
